date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,decade,k_factor,home_elo_before,away_elo_before
1990-04-25,Republic of Ireland,Russia,1.0,0.0,Friendly,Dublin,Republic of Ireland,False,1990,20,1508.1506753883134,1538.072652780697
1990-04-25,Israel,Romania,1.0,4.0,Friendly,Haifa,Israel,False,1990,20,1492.1868470307356,1510.260535998287
1990-04-25,Scotland,German DR,0.0,1.0,Friendly,Glasgow,Scotland,False,1990,20,1507.737263596937,1511.8701081341562
1990-04-25,Sweden,Wales,4.0,2.0,Friendly,Solna,Sweden,False,1990,20,1515.8296645582195,1491.8493246116866
1990-04-29,Barbados,Antigua and Barbuda,1.0,0.0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,1990,30,1515.1322789078122,1474.149773947691
1990-04-29,Gabon,Martinique,0.0,2.0,Friendly,Paris,France,True,1990,20,1500.0,1522.9237745296314
1990-04-29,Jamaica,Saint Kitts and Nevis,3.0,0.0,CFU Caribbean Cup qualification,Kingston,Jamaica,False,1990,30,1496.9674949763623,1512.22601308247
1990-04-29,Suriname,Guyana,5.0,0.0,CFU Caribbean Cup qualification,Paramaribo,Suriname,False,1990,30,1500.0,1500.0
1990-05-01,Guadeloupe,Martinique,1.0,0.0,Friendly,Paris,France,True,1990,20,1500.0,1536.9355092987353
1990-05-03,Austria,Argentina,1.0,1.0,Friendly,Vienna,Austria,False,1990,20,1527.1911744673753,1477.262736403063
1990-05-04,Colombia,Poland,2.0,1.0,Marlboro Cup,Chicago,United States,True,1990,30,1479.9546251327395,1524.5301308630537
1990-05-05,United States,Malta,1.0,0.0,Friendly,Piscataway,United States,False,1990,20,1463.7224964031027,1479.5499438544214
1990-05-05,Brazil,Bulgaria,2.0,1.0,Friendly,Campinas,Brazil,False,1990,20,1491.8493246116866,1500.0
1990-05-06,Cayman Islands,Jamaica,1.0,2.0,Friendly,George Town,Cayman Islands,False,1990,20,1500.0,1519.484816313322
1990-05-06,Costa Rica,Poland,0.0,2.0,Marlboro Cup,Chicago,United States,True,1990,30,1488.686477485118,1507.6161418368813
1990-05-06,Saint Martin,Guadeloupe,2.0,1.0,CFU Caribbean Cup qualification,Marigot,Saint Martin,False,1990,30,1521.3955228943225,1511.0591025687677
1990-05-07,Jersey,Guernsey,2.0,1.0,Muratti Vase,Jersey,Jersey,False,1990,30,1500.0,1522.9237745296314
1990-05-08,Switzerland,Argentina,1.0,1.0,Friendly,Bern,Switzerland,False,1990,20,1497.2290795246734,1480.4550465921902
1990-05-08,Andalusia,Uruguay,1.0,1.0,Friendly,Seville,Spain,False,1990,20,1500.0,1535.0681691003642
1990-05-09,United States,Poland,3.0,1.0,Friendly,Hershey,United States,False,1990,20,1472.3165712986338,1528.8914644578724
1990-05-13,Brazil,German DR,3.0,3.0,Friendly,Rio de Janeiro,Brazil,False,1990,20,1500.2275174646636,1523.604300265666
1990-05-13,Canada,Mexico,2.0,1.0,NAFU Championship,Burnaby,Canada,False,1990,30,1500.0,1538.9408037697522
1990-05-13,Dominica,French Guiana,1.0,1.0,CFU Caribbean Cup qualification,Roseau,Dominica,False,1990,30,1487.77398691753,1477.0762254703686
1990-05-13,Saint Lucia,Bermuda,0.0,2.0,CFU Caribbean Cup qualification,Castries,Saint Lucia,False,1990,30,1487.9002261158255,1480.0498911745674
1990-05-15,England,Denmark,1.0,0.0,Friendly,London,England,False,1990,20,1519.1452392398337,1511.698859806867
1990-05-15,Grenada,Suriname,3.0,1.0,CFU Caribbean Cup qualification,Georgetown,Guyana,True,1990,30,1497.22601308247,1524.45202616494
1990-05-16,Israel,Russia,3.0,2.0,Friendly,Ramat Gan,Israel,False,1990,20,1472.3374821235097,1529.078862830634
1990-05-16,Republic of Ireland,Finland,1.0,1.0,Friendly,Dublin,Republic of Ireland,False,1990,20,1517.1444653383762,1503.4359604053304
1990-05-16,Scotland,Egypt,1.0,3.0,Friendly,Aberdeen,Scotland,False,1990,20,1496.0030714654272,1423.0505008396128
1990-05-17,Barbados,Suriname,5.0,0.0,Friendly,Bridgetown,Barbados,False,1990,20,1525.6934776790954,1500.192464143575
1990-05-18,Mauritania,Gambia,2.0,0.0,African Cup of Nations qualification,Nouakchott,Mauritania,False,1990,30,1500.0,1488.1506753883134
1990-05-18,Northern Ireland,Uruguay,1.0,0.0,Friendly,Belfast,Northern Ireland,False,1990,20,1488.6312359269314,1535.9275513998336
1990-05-18,Zimbabwe,Eswatini,4.0,4.0,Friendly,Harare,Zimbabwe,False,1990,20,1518.1887047280777,1500.0391660517344
1990-05-19,Scotland,Poland,1.0,1.0,Friendly,Glasgow,Scotland,False,1990,20,1475.3416203049408,1514.2551342788884
1990-05-19,Saint Kitts and Nevis,Guadeloupe,2.0,0.0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,1990,30,1489.7086917455104,1499.2616025210557
1990-05-20,Guyana,Curaçao,1.0,1.0,CFU Caribbean Cup qualification,Georgetown,Guyana,False,1990,30,1475.54797383506,1502.77398691753
1990-05-20,Jamaica,Saint Martin,1.0,0.0,CFU Caribbean Cup qualification,Kingston,Jamaica,False,1990,30,1530.7874055064926,1533.1930229420345
1990-05-20,Wales,Costa Rica,1.0,0.0,Friendly,Cardiff,Wales,False,1990,20,1480.609070955116,1467.411154864127
1990-05-21,Poland,United Arab Emirates,4.0,0.0,Friendly,Marseille,France,True,1990,20,1515.0045559557275,1448.0301560893167
1990-05-21,Romania,Egypt,1.0,0.0,Friendly,Bucharest,Romania,False,1990,20,1530.1099009055129,1443.7119520000992
1990-05-22,England,Uruguay,1.0,2.0,Friendly,London,England,False,1990,20,1527.0897691153216,1526.4366638500392
1990-05-22,Israel,Argentina,1.0,2.0,Friendly,Ramat Gan,Israel,False,1990,20,1482.0998247115697,1482.7661731391645
1990-05-26,Yugoslavia,Spain,0.0,1.0,Friendly,Ljubljana,Yugoslavia,False,1990,20,1502.591024257995,1496.1263361035808
1990-05-26,Turkey,Republic of Ireland,0.0,0.0,Friendly,İzmir,Turkey,False,1990,20,1491.9505709387643,1514.9170274702124
1990-05-26,Germany,Czechoslovakia,1.0,0.0,Friendly,Düsseldorf,Germany,False,1990,20,1491.9670348844832,1467.0761776555562
1990-05-26,Bermuda,Barbados,1.0,1.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False,1990,30,1507.1997479398494,1540.5985355087512
1990-05-26,Egypt,Colombia,1.0,1.0,Friendly,Cairo,Egypt,False,1990,20,1437.8131756685598,1496.868614158912
